Agency,Opportunity Name,Paid/Unpaid,Citizenship Eligibility,Education Level,Category,Link,Description
U.S. Naval Research Laboratory,Naval Research Enterprise Internship Program,Paid,US Citizen,"Undergraduate, Graduate",Mathematics & Computational Sciences,https://www.navalsteminterns.us/nreip/,"The Naval Research Enterprise Internship Program (NREIP) places college and university students in Department of Navy (DoN) laboratories where they take part in real Naval research for ten weeks during the summer.

NREIP gives academically talented college students, graduating seniors, and graduate students pursuing STEM careers the opportunity to learn about Naval research and technology while receiving first-class mentoring by top scientists and engineers.

NREIP is a competitive program with over 800 placements in 62 laboratories around the country in which many participants go on to careers within the DoN. Interns are selected based upon academic achievement, personal statements, recommendations, and career and research interests.

Applicants must be:

Enrolled full-time at an accredited four-year college or university (See below for exceptions)
Solely U.S. Citizens (See exceptions below)
On track to acquire a minimum of 31 credits by the start of the internship (Eligibility will be determined by the number of credits accrued by the end of the Spring semester before the internship start date)
Students graduating the spring semester before the internship or later (Winter graduates are not eligible)
Applicants should have demonstrated interest in subjects of study that are relevant to the research conducted by one or more of the laboratories in the program
Exceptions:

Students attending two-year colleges in relevant majors and who meet the credit requirements may be eligible at the laboratory's discretion. Those students should directly contact the laboratory of interest to determine eligibility
Some labs make exceptions for Permanent Residents and Dual Citizens. Students should check individual lab pages for eligibility
High school students taking college courses are not eligible but are invited to apply to our SEAP program

The internship has a duration of ten weeks (with the possibility of extending up to four additional weeks). Stipend levels will be determined by the student's years of participation in the NREIP program. Stipends will be paid bi-weekly via direct deposit. Stipends are as follows:

New undergraduate student participants: $7,500
Returning undergraduate students (students MUST have completed a full 10-week program in a prior year to receive this level): $9,000
Graduate students (students must currently be in graduate school and taking graduate school courses to receive this level): $11,500
NREIP GOALS
Encourage students to pursue DON science and engineering careers
Enhance education with mentoring by laboratory scientists and engineers
Enable students to participate in meaningful STEM research
Expose students to DON science & technology and research & development opportunities
Increase DON STEM internship opportunities for underrepresented groups"
National Park Service (NPS),Historic Stewards,Paid,Unspecified,"Undergraduate, Graduate",Other,https://www.nps.gov/orgs/1098/historic-stewards.htm,
National Park Service (NPS),Build Up Technical Internship Program,Paid,Unspecified,"Undergraduate, Graduate","Earth, Environmental & Agriculture Sciences",https://www.nps.gov/orgs/1098/build-up-internship.htm,
National Park Service (NPS),Traditional Trades Advancement Program,Paid,"US Citizen, Permanent Resident","Undergraduate, Graduate, High School",Other,https://www.nps.gov/orgs/1098/traditional-trades-apprenticeship-program.htm,
U.S. Department of Agriculture (USDA),Future Leaders in Public Service Internship Program,Paid,US Citizen,"Undergraduate, Graduate","Earth, Environmental & Agriculture Sciences",https://gogovernment.org/fellowship/future-leaders-in-public-service-internship-program/u-s-department-of-agriculture-tribal-agriculture-food/,
National Science Foundation (NSF),Future Leaders in Public Service Internship Program,Paid,US Citizen,"Undergraduate, Graduate",Social Sciences,https://gogovernment.org/fellowship/future-leaders-in-public-service-internship-program/,
Equal Employment Opportunity Commission (EEOC),"OCLA Advice, Audits, and External Reports Internship",Unpaid,Unspecified,"Undergraduate, Graduate",Social Sciences,https://www.eeoc.gov/office-communications-and-legislative-affairs-internship-program,"The U.S. Equal Employment Opportunity Commission’s (EEOC) Office of Communications and Legislative Affairs (OCLA) at the U.S. has internship opportunities available for undergraduate and graduate/professional students. EEOC prevents and remedies unlawful employment discrimination and advances equal opportunity for all in the workplace. The EEOC is the federal agency charged with enforcing federal laws prohibiting employment discrimination against a job applicant or an employee because of the person's race, color, religion, sex (including pregnancy, transgender status, and sexual orientation), national origin, age (40 or older), disability or genetic information.  OCLA represents the EEOC to the general public, the news media, and Congress.  

Applicants should have an interest in civil rights, strong Microsoft Office experience, and excellent writing, communication and organization skills.  EEOC internships are unpaid; however, interns may receive academic credit.

Intern assignments could include assisting OCLA staff in researching and responding to inquiries and requests from the Congressional Budget Office, the Government Accountability Office and the Office of Management and Budget, preparing agency reports, and researching and preparing legal and policy advice and memoranda for OCLA staff on issues involving communications, legislative affairs, and agency procedures.  Law students strongly preferred"
Equal Employment Opportunity Commission (EEOC),OCLA Legislative Affairs Internship,Unpaid,Unspecified,"Undergraduate, Graduate",Social Sciences,https://www.eeoc.gov/office-communications-and-legislative-affairs-internship-program,"The U.S. Equal Employment Opportunity Commission’s (EEOC) Office of Communications and Legislative Affairs (OCLA) at the U.S. has internship opportunities available for undergraduate and graduate/professional students. EEOC prevents and remedies unlawful employment discrimination and advances equal opportunity for all in the workplace. The EEOC is the federal agency charged with enforcing federal laws prohibiting employment discrimination against a job applicant or an employee because of the person's race, color, religion, sex (including pregnancy, transgender status, and sexual orientation), national origin, age (40 or older), disability or genetic information.  OCLA represents the EEOC to the general public, the news media, and Congress.  

Applicants should have an interest in civil rights, strong Microsoft Office experience, and excellent writing, communication and organization skills.  EEOC internships are unpaid; however, interns may receive academic credit.

Legislative Affairs intern assignments could include assisting OCLA legislative affairs staff with various projects such as researching and tracking legislative issues and bills, developing materials for dissemination to congressional staff, drafting responses to congressional inquiries, and attending and participating in congressional briefings."
Equal Employment Opportunity Commission (EEOC),OCLA Communications Internship,Unpaid,Unspecified,"Undergraduate, Graduate",Arts & Media,https://www.eeoc.gov/office-communications-and-legislative-affairs-internship-program,"The U.S. Equal Employment Opportunity Commission’s (EEOC) Office of Communications and Legislative Affairs (OCLA) at the U.S. has internship opportunities available for undergraduate and graduate/professional students. EEOC prevents and remedies unlawful employment discrimination and advances equal opportunity for all in the workplace. The EEOC is the federal agency charged with enforcing federal laws prohibiting employment discrimination against a job applicant or an employee because of the person's race, color, religion, sex (including pregnancy, transgender status, and sexual orientation), national origin, age (40 or older), disability or genetic information.  OCLA represents the EEOC to the general public, the news media, and Congress.  

Applicants should have an interest in civil rights, strong Microsoft Office experience, and excellent writing, communication and organization skills.  EEOC internships are unpaid; however, interns may receive academic credit.

Communications intern assignments could include assisting OCLA communications staff with various projects such as drafting content for agency social media channels and the website, drafting press releases, drafting talking points, assisting with the development and implementation of communications strategies, assisting with media outreach and working on special projects.  "
U.S. Department of Agriculture (USDA),William F. Helms Internship Program,Paid,Unspecified,"Undergraduate, Graduate",Medical & Life Sciences,https://www.aphis.usda.gov/careers/students-grads,
U.S. Department of Agriculture (USDA),"Saul T. Wilson, Jr., Internship Program",Paid,Unspecified,"Undergraduate, Graduate",Medical & Life Sciences,https://www.aphis.usda.gov/careers/students-grads,
U.S. Department of Agriculture (USDA),Daniel E. Salmon Internship Program,Paid,Unspecified,"Undergraduate, Graduate","Earth, Environmental & Agriculture Sciences",https://www.aphis.usda.gov/careers/students-grads,
U.S. Department of Agriculture (USDA),Chester A. Gipson Internship Program,Paid,Unspecified,"Undergraduate, Graduate",Medical & Life Sciences,https://www.aphis.usda.gov/careers/students-grads,
U.S. Department of Defense (DoD), National Geospatial-Intelligence Agency Student Internships,Paid,US Citizen,"Undergraduate, Graduate, High School",Engineering & Physical Sciences,https://www.nga.mil/careers/Student_Opportunities.html,
U.S. Department of Defense (DoD),Repperger Research Intern Program,Paid,US Citizen,"Undergraduate, Graduate, PhD, Postdoctoral",Engineering & Physical Sciences,https://orise.orau.gov/afrl/,
U.S. Department of Defense (DoD),DoD College Acquisition Internship Program (DCAIP),Paid,US Citizen,"Undergraduate, Graduate, PhD, Postdoctoral",Engineering & Physical Sciences,https://www.hci.mil/dodcareers/internship.html,
U.S. Department of Defense (DoD),The Problem-based Initiatives for Powerful Engagement and Learning In Naval Engineering and Science (PIPELINES),Paid,US Citizen,Undergraduate,Engineering & Physical Sciences,https://pipelines-csep.cnsi.ucsb.edu/apply,
U.S. Department of Defense (DoD),Naval Intelligence Activity Interships,Paid,US Citizen,Undergraduate,Engineering & Physical Sciences,https://www.oni.navy.mil/Careers/Intern-Programs/,
NASA,Computer Vision Intern,Paid,US Citizen,"High School, Undergraduate, Graduate",Mathematics & Computational Sciences,https://stemgateway.nasa.gov/public/s/explore-opportunities,
NASA,Game Development,Paid,US Citizen,"Undergraduate, Graduate, PhD",Mathematics & Computational Sciences,https://stemgateway.nasa.gov/s/course-offering/a0BSJ000000qvv32AA/game-development,
NASA,Data & Analytics Intern,Paid,US Citizen,"High School, Undergraduate, Graduate, PhD",Mathematics & Computational Sciences,https://stemgateway.nasa.gov/s/course-offering/a0B3d0000027hbtEAA/data-analytics-intern,"Internships are educational hands-on opportunities that provide unique NASA-related research and operational experiences for educators and high school, undergraduate, and graduate students (age 16 and up). To learn more, visit https://intern.nasa.gov.
About AETC:
The Aerosciences Evaluation and Test Capabilities (AETC) Portfolio Office executes strategic efforts to preserve and enhance research and test capabilities for NASA’s world-class portfolio of national wind tunnel facilities. AETC assets include capabilities in the subsonic, transonic, supersonic, hypersonic speed regimes and propulsion test facilities at the Ames, Glenn, and Langley Research Centers.

About the Data and Analytics team:
The Data and Analytics team within AETC strives to build tools and applications that:
- empower decision making by leveraging data assets within AETC and designing tools to enhance capabilities for business analytics and data driven solutions
- streamline data and communication pipelines for AETC's facilities and workforce
- optimize workflow for portfolio management
- improve evaluation and test data access within the organization
- ensure data security and facilitate appropriate data access for designated personnel both within and outside of organization.

About the Internship:
As a member of the Data and Analytics team, the intern will actively contribute to the team’s ongoing projects, including the application tool ADAPT which aims to address various challenges within NASA's software environment by leveraging data assets to enable real-time data visualization and actionable insights. The goal: to “digitally transform” the way NASA wind tunnels are managed and operated!

Intern projects and responsibilities span over a diverse range of opportunities, encompassing:
- data analytics
- AI model development and implementation
- full stack development
- database configuration & management
- UI/UX design
- internal communications
- project management and business administration

The intern will utilize tools such as Python and cloud computing services (Google Cloud) in addition to NASA agency specific frameworks to accelerate data science capabilities within the organization. As part of the team, the intern can expect to join a tight-knit environment that prioritizes learning and encourages creative ideas, receive support and guidance from experienced mentors, and work collaboratively with other interns to share skills and experiences."
NASA,Science Internship at Ames Research Center Summer 2025,Paid,US Citizen,"Undergraduate, Graduate, PhD",Engineering & Physical Sciences,https://stemgateway.nasa.gov/s/course-offering/a0B3d0000027E7aEAE/science-internship-at-ames-research-center-summer-2025,
U.S. Department of Energy (DOE),2024 DOE Scholars Program at NNSA,Paid,US Citizen,"Undergraduate, Graduate",Energy,https://www.zintellect.com/Opportunity/Details/DOE-Scholars-2024-NNSA,"What is the DOE Scholars Program?

The DOE Scholars Program is a Department-wide program designed to create a pipeline of highly qualified talent in disciplinary fields that support mission critical areas of the U.S. Department of Energy (DOE). The DOE Scholars Program provides opportunities designed to introduce DOE missions, functions, and operations to talented undergraduate and graduate students, as well as recent graduates. These opportunities will help prepare Scholars towards the full range of entry and mid-level research, technical and professional positions within DOE and other organizations that support the DOE mission. 

As a result, you will:

Gain insight and experience on DOE’s mission, culture and operations.
Showcase your education, talent and skills while contributing to the DOE’s mission and operations.
Enhance your preparedness for scientific, technological and policy related-careers.
Develop skills and gain experience that complements your education while exploring future opportunities as a part of a skilled workforce that benefits both the DOE and the overall global competitiveness of the nation."
NOAA,Central Library Internships,Unpaid,US Citizen,"Undergraduate, Graduate","Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/central-library-internships,
NOAA,Chesapeake Bay Summer Internship Program,Paid,US Citizen,"Undergraduate, Graduate","Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/chesapeake-bay-summer-internship-program,
NOAA,"Chesapeake-Student Recruitment, Early Advisement, and Mentoring (C-StREAM)",Paid,"US Citizen, Permanent Resident","Undergraduate, Graduate","Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/chesapeake-student-recruitment-early-advisement-and-mentoring-c-stream,
NOAA,CICOES Undergraduate Internship Program,Paid,"US Citizen, Permanent Resident",Undergraduate,"Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/cicoes-undergraduate-internship-program,
NOAA,Cooperative Institute for Marine and Atmospheric Studies (CIMAS)/Miami-Dade College Undergraduate Internship Program,Paid,Unspecified,Undergraduate,"Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/cooperative-institute-for-marine-and-atmospheric-studies-cimasmiami-dade-college-undergraduate,
NOAA,Cooperative Institute for Modeling the Earth System (CIMES) Research Internship Program at Princeton University,Paid,"US Citizen, Permanent Resident",Undergraduate,"Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/cooperative-institute-for-modeling-earth-system-cimes-research-internship-program-at-princeton,
NOAA,Educational Partnership Program with Minority Serving Institutions Cooperative Science Centers,Paid,"US Citizen, Permanent Resident","Undergraduate, Graduate","Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/educational-partnership-program-with-minority-serving-institutions-cooperative-science-centers,
NOAA,Ernest F. Hollings Undergraduate Scholarship Program,Paid,US Citizen,Undergraduate,"Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/ernest-f-hollings-undergraduate-scholarship-program,
NOAA,Geosciences Bridge Program,Paid,"US Citizen, Permanent Resident","High School, Undergraduate","Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/geosciences-bridge-program,
NOAA,Great Lakes Summer Fellows Program,Paid,"US Citizen, Permanent Resident","Undergraduate, Graduate","Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/great-lakes-summer-fellows-program,
NOAA,H≈çk≈´ala Kƒ´kaha Kai Internship Opportunity,Paid,US Citizen,Undergraduate,"Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/hokuala-kikaha-kai-internship-opportunity,
NOAA,Hutton Junior Fisheries Biology Program,Paid,Unspecified,High School,"Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/hutton-junior-fisheries-biology-program,
NOAA,Inclusive NOAA Fisheries Internship Program,Paid,US Citizen,Undergraduate,"Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/inclusive-noaa-fisheries-internship-program,
NOAA,Jos√© E. Serrano EPP/MSI Undergraduate Scholarship Program,Paid,"US Citizen, Permanent Resident",Undergraduate,"Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/jose-e-serrano-eppmsi-undergraduate-scholarship-program,
NOAA,National Centers for Coastal Ocean Science internship opportunities,Paid,Unspecified,Undergraduate,"Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/national-centers-for-coastal-ocean-science-internship-opportunities,
NOAA,National Coral Reef Management Fellowship,Paid,"US Citizen, Permanent Resident","Undergraduate, Graduate, Postdoctoral","Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/national-coral-reef-management-fellowship,
NOAA,National Water Center Innovators Program and Summer Institute,Paid,Unspecified,Graduate,"Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/national-water-center-innovators-program-and-summer-institute,
NOAA,NOAA Ocean Exploration Explorer-in-Training Program,Paid,US Citizen,"Undergraduate, Graduate","Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/noaa-ocean-exploration-explorer-in-training-program,
NOAA,NSF Non-Academic Research Internships for Graduate Students (INTERN) at NOAA,Paid,US Citizen,Graduate,"Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/nsf-non-academic-research-internships-for-graduate-students-intern-at-noaa-1,
NOAA,NWS Student Volunteer Program,Unpaid,"US Citizen, Permanent Resident","High School, Undergraduate, Graduate, Postdoctoral","Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/nws-student-volunteer-program,
NOAA,Pacific Island Fisheries Science Center (PIFSC) Young Scientist Opportunity,Paid,"US Citizen, Permanent Resident",Undergraduate,"Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/pacific-island-fisheries-science-center-pifsc-young-scientist-opportunity,
NOAA,Pathways Programs,Paid,"US Citizen, Permanent Resident","High School, Undergraduate, Graduate, Postdoctoral","Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/pathways-programs,
NOAA,PIFSC-University of Hawaii Library Information Science Internship (graduate program),Unpaid,Unspecified,"Undergraduate, Graduate","Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/pifsc-university-of-hawaii-library-information-science-internship-graduate-program,
NOAA,Research Experiences for Undergraduates in Marine and Estuarine Science,Paid,"US Citizen, Permanent Resident",Undergraduate,"Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/research-experiences-for-undergraduates-in-marine-and-estuarine-science,
NOAA,Sea Grant Community Engaged Internship,Paid,Unspecified,Undergraduate,"Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/sea-grant-community-engaged-internship,
NOAA,Sea Grant graduate opportunities,Unpaid,"US Citizen, Permanent Resident",Graduate,"Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/sea-grant-graduate-opportunities,
NOAA,Sea Grant undergraduate opportunities,Unpaid,"US Citizen, Permanent Resident",Undergraduate,"Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/sea-grant-undergraduate-opportunities,
NOAA,SEFSC Reef Fish Survey Team,Unpaid,Unspecified,Undergraduate,"Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/sefsc-reef-fish-survey-team,
NOAA,SEFSC Shark Population Assessment Team,Unpaid,Unspecified,Undergraduate,"Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/sefsc-shark-population-assessment-team,
NOAA,Virtual Student Federal Service Internships,Unpaid,US Citizen,"Undergraduate, Graduate","Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/virtual-student-federal-service-internships,"The Virtual Student Federal Service program connects the talents of U.S. citizen college students with the needs of federal agencies. Since 2009, more than 10,000 remote interns have advanced the work of the federal government. The time commitment is about 10 hours per week during the school year. There are opportunities for all, from data visualization to political analysis. Internships are unpaid but may be eligible for course credit. Speak with a guidance counselor regarding course credit requirements.

U.S. citizen high school graduates, from rising college freshmen through Ph.D. students, who are enrolled at least half-time (as defined by the school) in college during their application and participation are eligible. Because the program is virtual, students can intern from anywhere.

Students apply between February 1 and February 29 and may apply for up to five internships. A maximum of 300 U.S. citizen college students may apply to each internship project. Internship mentors select students in March and April. Internships begin in September and run for the duration of the academic year."
NOAA,William M. Lapenta NOAA Student Internship,Paid,US Citizen,"Undergraduate, Graduate","Earth, Environmental & Agriculture Sciences",https://www.noaa.gov/william-m-lapenta-noaa-student-internship,
Smithsonian,Katzenberger Foundation Art History Internship,Paid,"US Citizen, Permanent Resident",Undergraduate,Arts & Media,https://internships.si.edu/opportunity/katzenberger-foundation-art-history-internship,
Smithsonian,National Museum of African American History and Culture Internship Program,Paid,"Unspecified, International Student","Undergraduate, Graduate",Arts & Media,https://nmaahc.si.edu/connect/internships-fellowships/internships,
Smithsonian,Claudine K. Brown Internship in Education,Paid,"US Citizen, Permanent Resident",Undergraduate,Other,https://internships.si.edu/opportunity/claudine-k-brown-internship-education,
Smithsonian,EEHV 2024-25 Winter Internship,Paid,Unspecified,Undergraduate,Medical & Life Sciences,https://nationalzoo.si.edu/careers/internships/eehv-2024-25-winter-internship,
Smithsonian,National Museum of the American Indian (NMAI) Internship Program ,Paid,"Unspecified, International Student","Undergraduate, Graduate, PhD, High School",Arts & Media,https://americanindian.si.edu/about/internships,
Smithsonian,Archives of American Gardens Internship,Paid,Unspecified,Graduate,"Earth, Environmental & Agriculture Sciences",https://gardens.si.edu/learn/internships/archives-of-american-gardens-internship/,
Smithsonian,Landscape Architecture Internship,Unpaid,Unspecified,Graduate,"Earth, Environmental & Agriculture Sciences",https://gardens.si.edu/learn/internships/landscape-architecture-internship/,
Smithsonian,Spring Science Writing Intern,Paid,"Unspecified, International Student","Undergraduate, Graduate",Arts & Media,https://serc.si.edu/internships/opportunities/spring-science-writing-intern,"Sharpen your science writing skills with an internship at the Smithsonian Environmental Research Center (SERC), the Smithsonian’s coastal research hub on Chesapeake Bay! As the science writing intern, you’ll gain experience creating content for multiple platforms, from short and snappy social media posts to long-form feature stories. You’ll cover scientists, educators and volunteers in the field and lab. 

The spring internship will focus primarily on SERC’s climate change work, with an emphasis on storytelling through both written and video pieces. News articles and feature stories will appear on SERC's Shorelines blog and may appear in our print newsletter, On The Edge. Videos and social media posts will appear on SERC's Instagram, Facebook, LinkedIn and X accounts. Longer videos may also appear on SERC’s YouTube channel.

Qualifications and Requirements
Applicants should have a strong scientific background (some natural sciences coursework; not required to be a science major) and a flair for telling stories about science for a nonscientific audience. SERC's science writing internships are open to undergraduate students, master's students and recent graduates up to one year after graduation. International students are welcome to apply.

Learning Objectives
During this internship, you'll learn to:

Interview scientists and other experts
Translate complex, technical topics into engaging, public-friendly language
Write news and feature stories about science, following a standard journalistic style (Associated Press)
Create videos for social media
Write copy for different social media platforms (Instagram, Facebook, LinkedIn and X)
Implement best practices for accessibility in science writing
"
Smithsonian,Special Events and Adult Education Programming Intern,Unpaid,"Unspecified, International Student","Undergraduate, Graduate",Other,https://smithsonianassociates.org/ticketing/internships/pds/Special-Events-and-Adult-Programming-Intern.pdf,
Smithsonian,Youth and Family Programs Summer Intern,Unpaid,"Unspecified, International Student","Undergraduate, Graduate",Other,https://smithsonianassociates.org/ticketing/internships/pds/Youth-and-Family-Intern.pdf,
U.S. Fish & Wildlife Service,Internship- Fisheries Tech at Inks Dam National Fish Hatchery,Paid,"US Citizen, Permanent Resident","Undergraduate, Graduate, PhD, Postdoctoral","Earth, Environmental & Agriculture Sciences",https://myjobs.adp.com/scacareers/cx/job-details?reqId=5001067844306,
U.S. Fish & Wildlife Service,Internship- Fisheries Intern,Paid,"US Citizen, Permanent Resident","Undergraduate, Graduate, PhD, Postdoctoral","Earth, Environmental & Agriculture Sciences",https://myjobs.adp.com/scacareers/cx/job-details?reqId=5001076322306,
Ames National Laboratory,Science Undergraduate Laboratory Internships,Paid,US Citizen,Undergraduate,Energy,https://www.ameslab.gov/education-programs/science-undergraduate-laboratory-internships,
Oak Ridge Institute for Science and Education,2025 READYTOWORK Internship,Paid,US Citizen,"Undergraduate, Graduate, Postdoctoral",Energy,https://www.zintellect.com/Opportunity/Details/DOE-R2W-Internship-2025?contractdesignation=1,
Oak Ridge Institute for Science and Education,Environmental and Physical Sciences Fellow - 2024,Paid,US Citizen,"Undergraduate, Graduate",Other,https://www.zintellect.com/Opportunity/Details/DOE-OREM-ESPSE-24?contractdesignation=1,
Oak Ridge Institute for Science and Education,Microbiology Internship at USAMRIID,Paid,US Citizen,Undergraduate,Medical & Life Sciences,https://www.zintellect.com/Opportunity/Details/USAMRIID-2023-0001?contractdesignation=1,
Oak Ridge Institute for Science and Education,Public Health Communication Internship,Paid,US Citizen,"Undergraduate, Graduate",Medical & Life Sciences,https://www.zintellect.com/Opportunity/Details/DCPH-A-2024-0002?contractdesignation=1,
Oak Ridge Institute for Science and Education,Microbiology Internship in Novel Antimicrobials,Paid,US Citizen,"High School, Graduate, Undergraduate",Medical & Life Sciences,https://www.zintellect.com/Opportunity/Details/DEVCOM-CBC-2024-0007?contractdesignation=1,
Oak Ridge Institute for Science and Education,Natural Resources Specialist Internship,Paid,US Citizen,Undergraduate,Other,https://www.zintellect.com/Opportunity/Details/Army-AEC-2024-0001?contractdesignation=1,
Oak Ridge Institute for Science and Education,Solar Manufacturing Internship for Leaders in Energy (SMILE) Program,Paid,"US Citizen, Permanent Resident",Undergraduate,Other,https://www.zintellect.com/Opportunity/Details/DOE-EERE-SETO-2025-SMILE?contractdesignation=1,
